WhatYouWillDo,WorkingHoursDetails,SalaryRange,WorkingPatternDetails,Overview,JobProfileCategories,WorkingPattern,WYDDayToDayTasks,Title,MaximumHours,SalaryExperienced,Skills,SalaryStarter
"<p>Your day-to-day duties could include:</p>
<ul>
    <li>supporting chefs in a specific work section</li>
    <li>washing, peeling and preparing food items</li>
    <li>using a variety of kitchen equipment such as mixers, special knives and cutters</li>
    <li>unloading deliveries</li>
    <li>organising the storeroom</li>
    <li>washing kitchen appliances, work surfaces, floors and walls</li>
</ul>
<p>Your working environment will often be hot, busy and noisy. You may not be suited to this work if you have certain skin conditions.</p>
<p>You'll usually be provided with a uniform.</p>
<p>
If you're based at a factory or catering business, your hours might be more regular than in a restaurant.</p>",a week,"£11,500 to £16,500 a year",on shifts,"Kitchen assistants prepare food, make sure chefs have everything they need and keep the kitchen clean.",Hospitality and food,evenings / weekends / bank holidays,"<p>Your day-to-day duties could include:</p>
<ul>
    <li>supporting chefs in a specific work section</li>
    <li>washing, peeling and preparing food items</li>
    <li>using a variety of kitchen equipment such as mixers, special knives and cutters</li>
    <li>unloading deliveries</li>
    <li>organising the storeroom</li>
    <li>washing kitchen appliances, work surfaces, floors and walls</li>
</ul>",Kitchen assistant,42,16500,"<p>You'll need:</p>
<ul>
    <li>practical skills in handling tools, machinery and supplies</li>
    <li>the ability to follow instructions and carry out tasks quickly</li>
    <li>communication skills to work with your team</li>
    <li>knowledge of food hygiene and health and safety</li>
    <li>the ability to stay calm in a busy environment</li>
    <li>customer service skills if you have contact with the public</li>
</ul>",11500
"<p>As a motorsport engineer working in design, testing or production, your day-to-day duties may include:</p>
<ul>
    <li>assessing new ideas by looking at performance, strength, costs and safety</li>
    <li>designing prototypes with computer-aided design (CAD) software</li>
    <li>testing components and bodywork&nbsp;</li>
    <li>testing working models on the track&nbsp;</li>
    <li>building production models and carrying out quality control checks</li>
    <li><span style=""line-height: 1.5;"">'finishing' vehicles with the team's colours and sponsorship logos</span></li>
</ul>
<span style=""line-height: 1.5;""></span>
<p>As a motorsport engineer working in racing, your day-to-day duties may include:</p>
<ul>
    <li>setting up vehicles to suit track and weather conditions</li>
    <li>monitoring engine speed and other data during races</li>
    <li>fine tuning the vehicle and sending technical instructions to the driver or rider</li>
    <li>carrying out &lsquo;after-tests&rsquo; on vehicles after a race to look for signs of damage</li>
</ul>",variable,,away from home,"Motorsport engineers design, build and test racing cars and bikes.","Engineering and maintenance,Manufacturing,Sports and leisure",evenings / weekends / bank holidays,"<p>As a motorsport engineer working in design, testing or production, your day-to-day duties may include:</p>
<ul>
    <li>assessing new ideas by looking at performance, strength, costs and safety</li>
    <li>designing prototypes with computer-aided design (CAD) software</li>
    <li>testing components and bodywork&nbsp;</li>
    <li>testing working models on the track&nbsp;</li>
    <li>building production models and carrying out quality control checks</li>
    <li>'finishing' vehicles with the team's colours and sponsorship logos</li>
</ul>
<p>As a motorsport engineer working in racing, your day-to-day duties may include:</p>
<ul>
    <li>setting up vehicles to suit track and weather conditions</li>
    <li>monitoring engine speed and other data during races</li>
    <li>fine tuning the vehicle and sending technical instructions to the driver or rider</li>
    <li>carrying out &lsquo;after-tests&rsquo; on vehicles after a race to look for signs of damage</li>
</ul>",Motorsport engineer,41,60000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>excellent problem-solving skills</li>
    <li>the ability to analyse and interpret data</li>
    <li>the ability to prioritise and plan effectively</li>
    <li>the ability to work under pressure to deadlines</li>
</ul>",18000
"<p>You could work in a high street salon, beauty clinic, health spa or hotel. You might also work on a cruise ship. You could also be self-employed where you'd work from home, or visit clients in their own homes.</p>
<p>You'll provide a range of face and body treatments. Your day-to-day tasks may include:</p>
<ul>
    <li>giving a facial by cleansing, massaging and toning a client's skin</li>
    <li>giving a makeover by applying and advising on make-up</li>
    <li>shaping eyebrows and colouring eyelashes</li>
    <li>giving a manicure, pedicure or other nail treatment like extensions and nail art</li>
    <li>removing unwanted facial and body hair</li>
    <li>giving electro-therapy treatments to improve body tone and shape</li>
    <li>giving non-surgical skin improvement treatments</li>
    <li>offering UV (ultraviolet) and spray tanning</li>
</ul>
<p>You may offer other treatments like massage, aromatherapy, hydrotherapy and reflexology.</p>
<p>As well as carrying out treatments, you may also:</p>
<ul>
    <li>answer the telephone and greet clients</li>
    <li>book appointments</li>
    <li>check and order supplies</li>
    <li>keep notes of clients' medical histories and treatment programmes</li>
    <li>refer clients to a doctor if needed</li>
</ul>
<p>You may spend a lot of your time standing.</p>",a week,"£15,000 to £20,000 a year",as customers demand,Beauty therapists provide face and body treatments to help clients look and feel better.,Beauty and wellbeing,evenings / weekends,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>giving a facial by cleansing, massaging and toning a client's skin</li>
    <li>giving a makeover by applying and advising on make-up</li>
    <li>shaping eyebrows and colouring eyelashes</li>
    <li>giving a manicure, pedicure or other nail treatment like extensions and nail art</li>
    <li>removing unwanted facial and body hair</li>
    <li>giving electro-therapy treatments to improve body tone and shape</li>
    <li>giving non-surgical skin improvement treatments</li>
    <li>offering UV (ultraviolet) and spray tanning</li>
</ul>",Beauty therapist,40,20000,"<p>You'll need:</p>
<ul>
    <li>a friendly manner to put clients at ease</li>
    <li>communication skills to explain procedures clearly</li>
    <li>tact, diplomacy and respect to work in a professional way with clients</li>
    <li>practical skills to perform treatments</li>
    <li>sales skills to earn commission</li>
    <li>IT and record-keeping skills for client notes</li>
    <li>business awareness if you're self-employed
    </li>
</ul>",15000
"<p>Your day-to-day duties may include:</p>
<ul>
    <li>organising and checking repairs and maintenance</li>
    <li>making sure properties are being used for their intended purpose</li>
    <li>dealing with tenancy applications and monitoring tenancy agreements</li>
    <li>setting and reviewing rents</li>
    <li>checking the potential of property for both short and long term use</li>
    <li>negotiating with landowners and other interested parties about compulsory purchase or purchase by agreement</li>
    <li>advising on land purchase issues</li>
    <li>attending meetings and working with other departments and organisations</li>
    <li>analysing financial and other data, and writing and presenting reports</li>
    <li>keeping up-to-date with land management, building control and environmental issues</li>
</ul>",a week,,attending events or appointments,Estates officers are responsible for the management and upkeep of land and property belonging to local councils and public bodies.,"Administration,Managerial",evenings,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>organising and checking repairs and maintenance</li>
    <li>making sure properties are being used for their intended purpose</li>
    <li>dealing with tenancy applications and monitoring tenancy agreements</li>
    <li>setting and reviewing rents</li>
    <li>checking the potential of property for both short and long term use</li>
    <li>negotiating with landowners and other interested parties about compulsory purchase or purchase by agreement</li>
    <li>advising on land purchase issues</li>
    <li>attending meetings and working with other departments and organisations</li>
    <li>analysing financial and other data, and writing and presenting reports</li>
    <li>keeping up-to-date with land management, building control and environmental issues</li>
</ul>",Estates officer,40,50000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>communication skills</li>
    <li>maths skills</li>
    <li>negotiating skills</li>
    <li>excellent IT skills</li>
</ul>",21000
"<p>
You'll usually work in stores' fashion and homeware departments. Your day-to-day tasks will include:
</p>
<ul>
    <li>designing product displays and floor plans, or following plans from head office
    </li>
    <li>drawing designs and plans by hand or computer
    </li>
    <li>using space and lighting creatively
    </li>
    <li>sourcing materials like models, props, signs and equipment
    </li>
    <li>arranging displays and dressing dummies
    </li>
    <li>teaching sales staff how to display goods
    </li>
    <li>producing brand guidelines so all stores have the same look and feel
    </li>
</ul>",a week,,,Visual merchandisers design eye-catching product displays and store layouts to encourage sales.,"Creative and media,Retail and sales",evenings,"<p>Your day-to-day tasks will include:</p>
<ul>
    <li>designing product displays and floor plans, or following plans from head office
    </li>
    <li>drawing designs and plans by hand or computer
    </li>
    <li>using space and lighting creatively
    </li>
    <li>sourcing materials like models, props, signs and equipment
    </li>
    <li>arranging displays and dressing dummies
    </li>
    <li>teaching sales staff how to display goods
    </li>
    <li>producing brand guidelines so all stores have the same look and feel
    </li>
</ul>",Visual merchandiser,38,55000,"<p>
You'll need:
</p>
<ul>
    <li>creativity and imagination
    </li>
    <li>design skills to create product displays
    </li>
    <li>technical drawing skills
    </li>
    <li>IT skills to use computer-aided design (CAD) software
    </li>
    <li>attention to detail
    </li>
</ul>",12000
"<p>You&rsquo;ll maintain the spacecraft and make sure you can live safely onboard. You&rsquo;ll also carry out scientific experiments and research.&nbsp;</p>
<p>Your duties could include:<span style=""line-height: 1.5;""></span></p>
<ul>
    <li>cleaning and testing air filters and air quality</li>
    <li>repairing, maintaining and testing oxygen production systems</li>
    <li>cleaning and maintaining water systems and testing for bacterial growth</li>
    <li>packaging and disposing of waste</li>
    <li><span style=""line-height: 1.4;"">replacing worn or broken parts on the spacecraft</span></li>
    <li>installing or repairing scientific instruments and equipment</li>
    <li>setting up, carrying out and monitoring experiments</li>
    <li>taking samples, like blood, from astronauts to assess their health</li>
    <li><span style=""line-height: 1.5;"">communicating with Earth by satellite to transfer data and send reports</span></li>
</ul>
<p>You may do Extra Vehicular Activity (EVA) or &lsquo;spacewalks&rsquo; to repair the spacecraft or complete research experiments.<br />
<br />
You&rsquo;ll also spend around 2.5 hours a day exercising.&nbsp;<br />
<br />
<a href=""http://www.esa.int/spaceinvideos/Videos/2013/05/ESA_Euronews_Living_in_space"">The European Space Agency</a> has a video about living and working on the International Space Station.</p>",variable,,away from home,Astronauts fly spacecraft and do experiments in space.,Science and research,evenings / weekends / bank holidays,"<p>Your duties could include:</p>
<ul>
    <li>cleaning and testing air filters and air quality</li>
    <li>repairing, maintaining and testing oxygen production systems</li>
    <li>cleaning and maintaining water systems and testing for bacterial growth</li>
    <li>packaging and disposing of waste</li>
    <li>replacing worn or broken parts on the spacecraft</li>
    <li>installing or repairing scientific instruments and equipment</li>
    <li>setting up, carrying out and monitoring experiments</li>
    <li>taking samples, like blood, from astronauts to assess their health</li>
    <li>communicating with Earth by satellite to transfer data and send reports</li>
</ul>",Astronaut,41,80000,"<p>You'll need:</p>
<ul>
    <li>excellent scientific or flight skills</li>
    <li>excellent physical and psychological strength to live in confined spaces for long periods</li>
    <li>the ability to stay calm during an emergency</li>
    <li>determination</li>
    <li>adaptability and good judgement</li>
</ul>",40000
"<p>You'll specialise in a particular industry, like consumer goods or energy. You may sell directly to consumers, or to other businesses.</p>
<p>Your day-to-day tasks may include:</p>
<ul>
    <li>contacting new and existing customers</li>
    <li>making presentations to promote new products</li>
    <li>agreeing sales, prices and delivery</li>
    <li>keeping in contact with customers before and after a sale</li>
    <li>recording orders</li>
    <li>going to conferences to understand industry trends</li>
    <li>meeting sales targets</li>
</ul>
<p>Occasionally you'll stay away overnight, or travel abroad to trade fairs and conferences.</p>
<p>You'll have a base at a sales office, call centre or you may work from home. You'll also usually need a driving licence.</p>",a week,"£15,000 to £50,000 a year",away from home,Sales representatives meet or ring customers to persuade them to buy products or services.,Retail and sales,evenings / weekends / bank holidays,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>contacting new and existing customers</li>
    <li>making presentations to promote new products</li>
    <li>agreeing sales, prices and delivery</li>
    <li>keeping in contact with customers before and after a sale</li>
    <li>recording orders</li>
    <li>going to conferences to understand industry trends</li>
    <li>meeting sales targets</li>
</ul>",Sales representative,40,50000,"<p>You'll need:</p>
<ul>
    <li>an outgoing personality</li>
    <li>excellent communication and presentation skills</li>
    <li>the ability to sell and negotiate</li>
    <li>determination and drive to meet sales targets</li>
    <li>customer service and people skills</li>
    <li>the ability to work well on your own and in a team</li>
    <li>IT skills for keeping records</li>
</ul>",15000
"<p>You'll be helping people in their own homes or in day centres, residential or nursing homes.</p>
<p>Your daily duties may include:</p>
<ul>
    <li>getting to know clients and their interests and needs</li>
    <li>helping with personal care like washing, using the toilet and dressing</li>
    <li>food preparation, feeding and giving out medication</li>
    <li>carrying out general tasks like housework, laundry and shopping</li>
    <li>helping clients manage their budget, pay bills and write letters</li>
    <li>supporting families with new caring responsibilities</li>
    <li>giving emotional and practical support to children and young people</li>
    <li>working with other health and social care professionals to provide individual care and development plans</li>
    <li>helping to organise leisure activities</li>
    <li>going with clients to and from a residential home</li>
</ul>
<p> Depending on your role you may be expected to stay overnight on a rota basis, or live in.</p>
<p>The job can be physically demanding.</p>",a week,"£12,500 to £25,000 a year",on shifts,Care workers help vulnerable people to manage their daily activities and to live as independently as possible.,"Healthcare,Home services,Social care",evenings / weekends,"<p>In this role you could be:</p>
<ul>
    <li>getting to know clients and their interests and needs</li>
    <li>helping with personal care like washing, using the toilet and dressing</li>
    <li>food preparation, feeding and giving out medication</li>
    <li>carrying out general tasks like housework, laundry and shopping</li>
    <li>helping clients manage their budget, pay bills and write letters</li>
    <li>going with clients to and from a residential home</li>
</ul>
<p>You could also be:</p>
<ul>
    <li>supporting families with new caring responsibilities</li>
    <li>giving emotional and practical support to children and young people</li>
    <li>working with other health and social care professionals to provide individual care and development plans</li>
    <li>helping to organise leisure activities</li>
</ul>",Care worker,40,25000,"<p>You'll need:</p>
<ul>
    <li>a caring and practical approach for helping people</li>
    <li>the ability to communicate with tact and sensitivity</li>
    <li>patience, a sense of humour and respect for your clients</li>
    <li>the ability to relate to people of all ages and from all backgrounds</li>
    <li>to work calmly under pressure</li>
    <li>the ability to cope with challenging behaviour and situations</li>
</ul>",12500
"<p>Your day-to-day duties may include:</p>
<ul>
    <li>building new instruments</li>
    <li>repairing or renovating damaged or worn instruments</li>
    <li>restoring or producing period instruments</li>
    <li>working with different materials like wood, metal, plastic and fibreglass</li>
    <li>using traditional hand tools</li>
    <li>fitting plastic, fibreglass and electronic parts to modern instruments like electric guitars</li>
    <li>applying finishing techniques like polishing and varnishing</li>
    <li><span style=""line-height: 1.5;"">tuning instruments</span></li>
</ul>
<p><a href=""https://ccskills.org.uk/careers/advice/article/making-musical-instruments"">Creative and Cultural Skills</a>&nbsp;has more information about this job.</p>",variable,,managing your own hours,Musical instrument makers and repairers create new musical instruments or repair ones that have been damaged.,"Creative and media,Manufacturing",freelance / self-employed,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>building new instruments</li>
    <li>repairing or renovating damaged or worn instruments</li>
    <li>restoring or producing period instruments</li>
    <li>working with different materials like wood, metal, plastic and fibreglass</li>
    <li>using traditional hand tools</li>
    <li>fitting plastic, fibreglass and electronic parts to modern instruments like electric guitars</li>
    <li>applying finishing techniques like polishing and varnishing</li>
    <li>tuning instruments</li>
</ul>",Musical instrument maker and repairer,44,0,"<p>You&rsquo;ll need:</p>
<ul>
    <li>excellent woodwork and metalwork skills</li>
    <li>a good appreciation of pitch and quality of sound</li>
    <li>problem solving skills</li>
    <li>good practical skills</li>
    <li>accuracy and precision</li>
    <li>business skills, if self-employed</li>
</ul>",0
"<p>You could work in a state or private school. </p>
<p> Your day-to-day duties may include:
</p>
<ul>
    <li>
    being the main contact for parents, governors and pupils</li>
    <li>
    greeting visitors and providing refreshments</li>
    <li>using IT systems to run financial reports and produce newsletters</li>
    <li>keeping paper and electronic records up to date</li>
    <li>using reprographic equipment</li>
    <li> ordering resources, paying invoices and banking cash</li>
</ul>
<p>  In some schools you may be the first aider for pupils.
</p>",variable,,attending events or appointments,School secretaries provide administrative support in schools.,Administration,evenings,"<p> Your day-to-day duties may include:</p>
<ul>
    <li>being the main contact for parents, governors and pupils</li>
    <li>greeting visitors and providing refreshments</li>
    <li>using IT systems to run financial reports and produce newsletters</li>
    <li>keeping paper and electronic records up to date</li>
    <li>using reprographic equipment</li>
    <li> ordering resources, paying invoices and banking cash</li>
</ul>",School secretary,38,19500,"<p>
You'll need:
</p>
<ul>
    <li>
    customer service and organisational skills</li>
    <li>an excellent telephone manner
    </li>
    <li>administrative, IT and finance skills</li>
</ul>",15250
